Accession Number,Q1,Q2,Q3,Q4
0,yes,yes,yes,yes
0,yes,yes,yes,yes
0,yes,yes,no,no
0,yes,yes,yes,yes
0,yes,no,not answered,no
0,yes,yes,yes,yes
0,yes,yes,yes,yes
0,no,not answered,not answered,not applicable
0,no,not answered,not answered,not applicable
0,no,not answered,not answered,not applicable
0,yes,yes,yes,yes
0,yes,no,not answered,no
0,yes,unclear,not answered,unclear
0,yes,no,not answered,no
0,yes,yes,yes,yes
0,no,not answered,not answered,not applicable
0,no,not answered,not answered,not applicable
0,yes,yes,yes,yes
0,yes,yes,yes,yes
0,yes,no,not answered,no
0,no,not answered,not answered,not applicable
0,yes,no,not answered,no
0,no,not answered,not answered,not applicable
0,yes,unclear,not answered,unclear
0,no,not answered,not answered,not applicable
0,yes,no,not answered,no
0,no,not answered,not answered,not applicable
0,no,not answered,not answered,not applicable
0,yes,no,not answered,no
0,yes,no,not answered,no
0,no,not answered,not answered,not applicable
0,no,not answered,not answered,not applicable
0,yes,unclear,not answered,unclear
0,no,not answered,not answered,not applicable
0,no,not answered,not answered,not applicable
0,yes,no,not answered,no
0,no,not answered,not answered,not applicable
0,no,not answered,not answered,not applicable
0,yes,yes,yes,yes
0,yes,yes,yes,yes
0,yes,yes,yes,yes
0,no,not answered,not answered,not applicable
0,yes,yes,yes,yes
0,no,not answered,not answered,not applicable
0,no,not answered,not answered,not applicable
0,no,not answered,not answered,not applicable
0,no,not answered,not answered,not applicable
0,yes,yes,yes,yes
0,yes,no,not answered,no
0,no,not answered,not answered,not applicable
0,yes,yes,yes,yes
0,yes,no,not answered,no
0,yes,no,not answered,no
0,yes,no,not answered,no
0,yes,yes,yes,yes
0,no,not answered,not answered,not applicable
0,no,not answered,not answered,not applicable
0,no,not answered,not answered,not applicable
0,yes,yes,yes,yes
0,yes,yes,yes,yes
0,yes,no,not answered,no
0,yes,yes,yes,yes
0,no,not answered,not answered,not applicable
0,yes,no,not answered,no
0,yes,yes,yes,yes
0,no,not answered,not answered,not applicable
0,no,not answered,not answered,not applicable
0,yes,unclear,not answered,unclear
0,yes,no,not answered,no
0,yes,no,not answered,no
0,yes,no,not answered,no
0,yes,yes,yes,yes
0,yes,no,not answered,no
0,yes,no,not answered,no
0,yes,yes,yes,yes
0,yes,no,not answered,no
0,yes,unclear,not answered,unclear
0,no,not answered,not answered,not applicable
0,yes,yes,yes,yes
0,no,not answered,not answered,not applicable
0,yes,no,not answered,no
0,no,not answered,not answered,not applicable
0,no,not answered,not answered,not applicable
0,no,not answered,not answered,not applicable
0,no,not answered,not answered,not applicable
0,yes,yes,yes,yes
0,yes,yes,yes,yes
0,no,not answered,not answered,not applicable
0,no,not answered,not answered,not applicable
0,no,not answered,not answered,not applicable
0,no,not answered,not answered,not applicable
0,yes,yes,yes,yes
0,yes,yes,yes,yes
0,no,not answered,not answered,not applicable
0,yes,yes,unclear,unclear
0,no,not answered,not answered,not applicable
0,yes,yes,yes,yes
0,no,not answered,not answered,not applicable
0,no,not answered,not answered,not applicable
0,no,not answered,not answered,not applicable
0,no,not answered,not answered,not applicable
0,no,not answered,not answered,not applicable
0,yes,yes,yes,yes
0,yes,yes,yes,yes
0,yes,no,not answered,no
0,yes,yes,yes,yes
0,yes,yes,yes,yes
0,yes,no,not answered,no
0,yes,yes,yes,yes
0,yes,yes,yes,yes
0,yes,yes,unclear,unclear
0,no,not answered,not answered,not applicable
0,no,not answered,not answered,not applicable
0,no,not answered,not answered,not applicable
0,yes,no,not answered,no
0,yes,yes,yes,yes
0,no,not answered,not answered,not applicable
0,yes,no,not answered,no
0,no,not answered,not answered,not applicable
0,yes,yes,yes,yes
0,yes,yes,yes,yes
0,no,not answered,not answered,not applicable
0,yes,yes,yes,yes
0,no,not answered,not answered,not applicable
0,no,not answered,not answered,not applicable
0,no,not answered,not answered,not applicable
0,yes,yes,unclear,unclear
0,no,not answered,not answered,not applicable
0,yes,yes,yes,yes
0,no,not answered,not answered,not applicable
0,no,not answered,not answered,not applicable
0,no,not answered,not answered,not applicable
0,yes,yes,yes,yes
0,yes,yes,yes,yes
0,no,not answered,not answered,not applicable
0,no,not answered,not answered,not applicable
0,yes,no,not answered,no
0,yes,no,not answered,no
0,no,not answered,not answered,not applicable
0,no,not answered,not answered,not applicable
0,yes,yes,yes,yes
0,yes,no,not answered,no
